Date,Open,High,Low,Close,Difference,Shares Traded,Turnover (Rs. Cr),EHL,VHL,HL,N,HP,VHP,EHP,Status
26-Aug-11,4839.25,4872,4720,4747.8,91.45,149717732,5850.84,0,0,0,0,0,1,0,5
29-Aug-11,4806.2,4934.4,4806.05,4919.6,-113.4,145125304,5576.71,0,1,0,0,0,0,0,1
30-Aug-11,4973.25,5016.25,4927.55,5001,-27.75,181539730,7051.77,0,0,1,0,0,0,0,2
02-Sep-11,5109.8,5113.7,4993.35,5040,69.8,195055967,7689.7,0,0,0,0,0,1,0,5
05-Sep-11,4998.9,5030.3,4964.45,5017.2,-18.3,162898218,6359.59,0,0,1,0,0,0,0,2
06-Sep-11,4993.35,5072.9,4942.9,5064.3,-70.95,183680006,7278,0,1,0,0,0,0,0,1
07-Sep-11,5080.15,5154.5,5076.3,5124.65,-44.5,193856202,6883.16,0,1,0,0,0,0,0,1
08-Sep-11,5139.2,5169.25,5098.25,5153.25,-14.05,140855342,6093.78,0,0,0,1,0,0,0,3
09-Sep-11,5161.3,5163.75,5046.8,5059.45,101.85,158713071,6482.27,0,0,0,0,0,1,0,5
12-Sep-11,4981.7,4985.6,4911.25,4946.8,34.9,135500219,5175.51,0,0,0,0,1,0,0,4
13-Sep-11,4977.8,5030.15,4911.05,4940.95,36.85,146005268,5305.87,0,0,0,0,1,0,0,4
14-Sep-11,4965.05,5026.15,4917.4,5012.55,-47.5,154276761,6416.57,0,1,0,0,0,0,0,1
15-Sep-11,5062.35,5091.45,4967.45,5075.7,-13.35,153648925,5935.88,0,0,0,1,0,0,0,3
16-Sep-11,5123.35,5143.6,5068.1,5084.25,39.1,225187238,8379.56,0,0,0,0,1,0,0,4
19-Sep-11,5068.4,5068.4,5019.25,5031.95,36.45,115737842,4042.27,0,0,0,0,1,0,0,4
20-Sep-11,5042.55,5149.9,5035.25,5140.2,-97.65,146599496,5504.69,0,1,0,0,0,0,0,1
21-Sep-11,5153.75,5168.4,5109.85,5133.25,20.5,132918171,5142.01,0,0,0,0,1,0,0,4
